pathway,ontology,frozen,locus,symbol,description,probe,added_rev3,reason
Secretion and virulence,PseudoCAP,2026-09-08,PA2674,---,probable type II secretion system protein ,PA2674_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA0844,plcH,hemolytic phospholipase C precursor ,PA0844_plcH_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA4302,---,probable type II secretion system protein ,PA4302_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA3103,xcpR,general secretion pathway protein E ,PA3103_xcpR_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA3099,xcpV,general secretion pathway protein I ,PA3099_xcpV_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA2256,pvcC,pyoverdine biosynthesis protein PvcC ,PA2256_pvcC_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA3746,ffh,signal recognition particle protein Ffh ,PA3746_ffh_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA3102,xcpS,general secretion pathway protein F ,PA3102_xcpS_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1148,toxA,exotoxin A precursor ,PA1148_toxA_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA2863,lipH,lipase modulator protein ,PA2863_lipH_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1868,xqhA,secretion protein XqhA ,PA1868_xqhA_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA4403,secA,secretion protein SecA ,PA4403_secA_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA3095,xcpZ,general secretion pathway protein M ,PA3095_xcpZ_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA0677,---,probable type II secretion system protein ,PA0677_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA3100,xcpU,general secretion pathway protein H ,PA3100_xcpU_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA4747,secG,secretion protein SecG ,PA4747_secG_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA3360,---,probable secretion protein ,PA3360_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1703,pcrD,type III secretory apparatus protein PcrD ,PA1703_pcrD_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA2672,---,probable type II secretion system protein ,PA2672_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA2677,---,probable type II secretion protein ,PA2677_at,,
Motility,PseudoCAP,2026-09-08,PA1456,cheY,two-component response regulator CheY ,PA1456_cheY_at,,
Motility,PseudoCAP,2026-09-08,PA1079,flgD,flagellar basal-body rod modification protein FlgD ,PA1079_flgD_at,,
Motility,PseudoCAP,2026-09-08,PA5042,pilO,type 4 fimbrial biogenesis protein PilO ,PA5042_pilO_at,,
Motility,PseudoCAP,2026-09-08,PA1447,fliQ,flagellar biosynthetic protein FliQ ,PA1447_fliQ_at,,
Motility,PseudoCAP,2026-09-08,PA1457,cheZ,chemotaxis protein CheZ ,PA1457_cheZ_at,,
Motility,PseudoCAP,2026-09-08,PA4526,pilB,type 4 fimbrial biogenesis protein PilB ,PA4526_pilB_at,,
Motility,PseudoCAP,2026-09-08,PA1448,fliR,flagellar biosynthetic protein FliR ,PA1448_fliR_at,,
Motility,PseudoCAP,2026-09-08,PA1445,fliO,flagellar protein FliO ,PA1445_fliO_at,,
Motility,PseudoCAP,2026-09-08,PA4554,pilY1,type 4 fimbrial biogenesis protein PilY1 ,PA4554_pilY1_at,,
Motility,PseudoCAP,2026-09-08,PA1446,fliP,flagellar biosynthetic protein FliP ,PA1446_fliP_at,,
Motility,PseudoCAP,2026-09-08,PA4083,cupB4,probable pili assembly chaperone ,PA4083_at,,
Motility,PseudoCAP,2026-09-08,PA5043,pilN,type 4 fimbrial biogenesis protein PilN ,PA5043_pilN_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1725,pscL,type III export protein PscL ,PA1725_pscL_at,,
Motility,PseudoCAP,2026-09-08,PA5044,pilM,type 4 fimbrial biogenesis protein PilM ,PA5044_pilM_at,,
Motility,PseudoCAP,2026-09-08,PA0409,pilH,twitching motility protein PilH ,PA0409_pilH_at,,
Motility,PseudoCAP,2026-09-08,PA1080,flgE,flagellar hook protein FlgE ,PA1080_flgE_at,,
Motility,PseudoCAP,2026-09-08,PA4844,---,probable chemotaxis transducer ,PA4844_at,,
Motility,PseudoCAP,2026-09-08,PA0396,pilU,twitching motility protein PilU ,PA0396_pilU_at,,
Motility,PseudoCAP,2026-09-08,PA0410,pilI,twitching motility protein PilI ,PA0410_pilI_at,,
Motility,PseudoCAP,2026-09-08,PA4551,pilV,type 4 fimbrial biogenesis protein PilV ,PA4551_pilV_at,,
Motility,PseudoCAP,2026-09-08,PA4553,pilX,type 4 fimbrial biogenesis protein PilX ,PA4553_pilX_at,,
Motility,PseudoCAP,2026-09-08,PA4547,pilR,two-component response regulator PilR ,PA4547_pilR_at,,
Motility,PseudoCAP,2026-09-08,PA0412,pilK,methyltransferase PilK ,PA0412_pilK_at,,
Motility,PseudoCAP,2026-09-08,PA4915,---,probable chemotaxis transducer ,PA4915_at,,
Motility,PseudoCAP,2026-09-08,PA5498,---,probable adhesin ,PA5498_at,,
Motility,PseudoCAP,2026-09-08,PA1082,flgG,flagellar basal-body rod protein FlgG ,PA1082_flgG_at,,
Motility,PseudoCAP,2026-09-08,PA0994,cupC3,probable fimbrial biogenesis usher protein ,PA0994_at,,
Motility,PseudoCAP,2026-09-08,PA1452,flhA,flagellar biosynthesis protein FlhA ,PA1452_flhA_at,,
Motility,PseudoCAP,2026-09-08,PA1077,flgB,flagellar basal-body rod protein FlgB ,PA1077_flgB_at,,
Motility,PseudoCAP,2026-09-08,PA1443,fliM,flagellar motor switch protein FliM ,PA1443_fliM_at,,
Motility,PseudoCAP,2026-09-08,PA3349,---,probable chemotaxis protein ,PA3349_at,,
Motility,PseudoCAP,2026-09-08,PA0411,pilJ,twitching motility protein PilJ ,PA0411_pilJ_at,,
Motility,PseudoCAP,2026-09-08,PA1458,---,probable two-component sensor ,PA1458_at,,
Motility,PseudoCAP,2026-09-08,PA1078,flgC,flagellar basal-body rod protein FlgC ,PA1078_flgC_at,,
Motility,PseudoCAP,2026-09-08,PA2132,cupA5,probable pili assembly chaperone ,PA2132_at,,
Motility,PseudoCAP,2026-09-08,PA4309,pctA,chemotactic transducer PctA ,PA4309_pctA_at,,
Motility,PseudoCAP,2026-09-08,PA1608,---,probable chemotaxis transducer ,PA1608_at,,
Motility,PseudoCAP,2026-09-08,PA0993,cupC2,probable pili assembly chaperone ,PA0993_at,,
Motility,PseudoCAP,2026-09-08,PA0992,cupC1,probable fimbrial subunit protein ,PA0992_at,,
Motility,PseudoCAP,2026-09-08,PA0395,pilT,twitching motility protein PilT ,PA0395_pilT_at,,
Motility,PseudoCAP,2026-09-08,PA1449,flhB,flagellar biosynthetic protein FlhB ,PA1449_flhB_at,,
Motility,PseudoCAP,2026-09-08,PA2867,---,probable chemotaxis transducer ,PA2867_at,,
Motility,PseudoCAP,2026-09-08,PA4081,cupB6,probable fimbrial protein ,PA4081_at,,
Motility,PseudoCAP,2026-09-08,PA4552,pilW,type 4 fimbrial biogenesis protein PilW ,PA4552_pilW_at,,
Motility,PseudoCAP,2026-09-08,PA3348,---,probable chemotaxis protein methyltransferase ,PA3348_at,,
Motility,PseudoCAP,2026-09-08,PA4087,---,conserved hypothetical protein ,PA4087_at,,
Motility,PseudoCAP,2026-09-08,PA4550,fimU,type 4 fimbrial biogenesis protein FimU ,PA4550_fimU_at,,
Motility,PseudoCAP,2026-09-08,PA1097,fleQ,transcriptional regulator FleQ ,PA1097_fleQ_at,,
Motility,PseudoCAP,2026-09-08,PA2573,---,probable chemotaxis transducer ,PA2573_at,,
Motility,PseudoCAP,2026-09-08,PA1081,flgF,flagellar basal-body rod protein FlgF ,PA1081_flgF_at,,
Motility,PseudoCAP,2026-09-08,PA1930,---,probable chemotaxis transducer ,PA1930_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA0263,hcpA /// hcpB /// hcpC,secreted protein Hcp ,PA0263_hcpC_s_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1719,pscF,type III export protein PscF ,PA1719_pscF_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1694,pscQ,translocation protein in type III secretion ,PA1694_pscQ_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA3406,hasD,transport protein HasD ,PA3406_hasD_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1246,aprD,alkaline protease secretion protein AprD ,PA1246_aprD_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA3405,hasE,metalloprotease secretion protein ,PA3405_hasE_at,,
Motility,PseudoCAP,2026-09-08,PA0499,---,probable pili assembly chaperone ,PA0499_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1692,---,probable translocation protein in type III secretion ,PA1692_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1721,pscH,type III export protein PscH ,PA1721_pscH_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1717,pscD,type III export protein PscD ,PA1717_pscD_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1697,---,ATP synthase in type III secretion system ,PA1697_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1695,pscP,translocation protein in type III secretion ,PA1695_pscP_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1701,---,conserved hypothetical protein in type III secretion ,PA1701_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1723,pscJ,type III export protein PscJ ,PA1723_pscJ_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1700,---,conserved hypothetical protein in type III secretion ,PA1700_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA2191,exoY,adenylate cyclase ExoY ,PA2191_exoY_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1720,pscG,type III export protein PscG ,PA1720_pscG_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1249,aprA,alkaline metalloproteinase precursor ,PA1249_aprA_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA2255,pvcB,pyoverdine biosynthesis protein PvcB ,PA2255_pvcB_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1715,pscB,type III export apparatus protein ,PA1715_pscB_at,,
Motility,PseudoCAP,2026-09-08,PA4546,pilS,two-component sensor PilS ,PA4546_pilS_at,,
Motility,PseudoCAP,2026-09-08,PA4307,pctC,chemotactic transducer PctC ,PA4307_pctC_at,,
Motility,PseudoCAP,2026-09-08,PA2130,cupA3,probable fimbrial biogenesis usher protein ,PA2130_at,,
Motility,PseudoCAP,2026-09-08,PA5041,pilP,type 4 fimbrial biogenesis protein PilP ,PA5041_pilP_at,,
Motility,PseudoCAP,2026-09-08,PA1444,fliN,flagellar motor switch protein FliN ,PA1444_fliN_at,,
Motility,PseudoCAP,2026-09-08,PA4085,cupB2,probable pili asembly chaperone ,PA4085_at,,
Motility,PseudoCAP,2026-09-08,PA0408,pilG,twitching motility protein PilG ,PA0408_pilG_at,,
Motility,PseudoCAP,2026-09-08,PA4954,motA,chemotaxis protein MotA ,PA4954_motA_at,,
Motility,PseudoCAP,2026-09-08,PA3708,wspA,probable chemotaxis transducer ,PA3708_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1708,popB,translocator protein PopB ,PA1708_popB_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1707,pcrH,regulatory protein PcrH ,PA1707_pcrH_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1718,pscE,type III export protein PscE ,PA1718_pscE_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA3866,---,pyocin protein ,PA3866_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1709,popD,translocator protein PopD ,PA1709_popD_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA4143,---,probable toxin transporter ,PA4143_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1710,exsC,exoenzyme S synthesis protein C precursor ,PA1710_exsC_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA0044,exoT,exoenzyme T ,PA0044_exoT_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1712,exsB,exoenzyme S synthesis protein B ,PA1712_exsB_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1706,pcrV,type III secretion protein PcrV ,PA1706_pcrV_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA3841,exoS,exoenzyme S ,PA3841_exoS_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA4144,---,probable secretion protein ,PA4144_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA3842,---,probable chaperone ,PA3842_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1713,exsA,transcriptional regulator ExsA ,PA1713_exsA_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA4142,---,probable secretion protein ,PA4142_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0164,---,probable gamma-glutamyltranspeptidase ,PA0164_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2053,cynT,carbonate dehydratase ,PA2053_cynT_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5549,glmS,glucosamine--fructose-6-phosphate aminotransferase ,PA5549_glmS_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4759,dapB,dihydrodipicolinate reductase ,PA4759_dapB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0265,gabD,succinate-semialdehyde dehydrogenase ,PA0265_gabD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3561,fruK,1-phosphofructokinase ,PA3561_fruK_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1483,cycH,cytochrome c-type biogenesis protein ,PA1483_cycH_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2414,---,L-sorbosone dehydrogenase ,PA2414_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1600,---,probable cytochrome c ,PA1600_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5555,atpG,ATP synthase gamma chain ,PA5555_atpG_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0108,coIII,"cytochrome c oxidase, subunit III ",PA0108_coIII_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1843,metH,methionine synthase ,PA1843_metH_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0795,prpC,citrate synthase 2 ,PA0795_prpC_at,,
Secretion and virulence,PseudoCAP,2026-09-08,PA1875,---,hypothetical protein ,PA1875_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5427,adhA,alcohol dehydrogenase ,PA5427_adhA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4125,hpcD,5-carboxymethyl-2-hydroxymuconate isomerase ,PA4125_hpcD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5421,fdhA,glutathione-independent formaldehyde dehydrogenase ,PA5421_fdhA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2083,---,probable ring-hydroxylating dioxygenase subunit ,PA2083_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5418,soxA,sarcosine oxidase alpha subunit ,PA5418_soxA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1525,alkB2,probable alkane hydroxylase ,PA1525_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0018,fmt,methionyl-tRNA formyltransferase ,PA0018_fmt_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5223,ubiH,ubiH protein ,PA5223_ubiH_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0897,aruG,arginine,PA0897_aruG_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4412,murG,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase ,PA4412_murG_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0195,pntA,still frameshift pyridine nucleotide transhydrogenase alpha subunit ,PA0195_pntA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5100,hutU,urocanase ,PA5100_hutU_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4447,hisC1,histidinol-phosphate aminotransferase ,PA4447_hisC1_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1337,ansB,glutaminase-asparaginase ,PA1337_ansB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2726,---,probable radical activating enzyme ,PA2726_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1481,ccmG,cytochrome C biogenesis protein CcmG ,PA1481_ccmG_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2643,nuoH,NADH dehydrogenase I chain H ,PA2643_nuoH_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0153,pcaH,"protocatechuate 3,4-dioxygenase, beta subunit ",PA0153_pcaH_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3562,---,probable phosphotransferase system enzyme I ,PA3562_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0546,metK,methionine adenosyltransferase ,PA0546_metK_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3929,cioB,cyanide insensitive terminal oxidase ,PA3929_cioB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4538,ndh,NADH dehydrogenase ,PA4538_ndh_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4025,---,probable ethanolamine ammonia-lyase light chain ,PA4025_r_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4756,carB,carbamoylphosphate synthetase large subunit ,PA4756_carB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5411,---,probable ferredoxin ,PA5411_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1588,sucC,succinyl-CoA synthetase beta chain ,PA1588_sucC_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3930,cioA,cyanide insensitive terminal oxidase ,PA3930_cioA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5131,pgm,phosphoglycerate mutase ,PA5131_pgm_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5400,---,probable electron transfer flavoprotein alpha subunit ,PA5400_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3525,argG,argininosuccinate synthase ,PA3525_argG_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0107,---,conserved hypothetical protein ,PA0107_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5417,soxD,sarcosine oxidase delta subunit ,PA5417_soxD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5172,arcB,"ornithine carbamoyltransferase, catabolic ",PA5172_arcB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0266,gabT,4-aminobutyrate aminotransferase ,PA0266_gabT_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3195,gapA,glyceraldehyde 3-phosphate dehydrogenase ,PA3195_gapA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1320,cyoD,cytochrome o ubiquinol oxidase subunit IV ,PA1320_cyoD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5353,glcF,glycolate oxidase subunit GlcF ,PA5353_glcF_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4696,ilvI,acetolactate synthase large subunit ,PA4696_ilvI_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3118,leuB,3-isopropylmalate dehydrogenase ,PA3118_leuB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5419,soxG,sarcosine oxidase gamma subunit ,PA5419_soxG_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2637,nuoA,NADH dehydrogenase I chain A ,PA2637_nuoA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0154,pcaG,"protocatechuate 3,4-dioxygenase, alpha subunit ",PA0154_pcaG_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2714,---,probable molybdopterin oxidoreductase ,PA2714_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2813,---,probable glutathione S-transferase ,PA2813_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0871,phhB,pterin-4-alpha-carbinolamine dehydratase ,PA0871_phhB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4977,---,probable acetolactate synthase large subunit ,PA4977_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3570,mmsA,methylmalonate-semialdehyde dehydrogenase ,PA3570_mmsA_at,,
