pathway,ontology,frozen,locus,symbol,description,probe,added_rev3,reason
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2011,gnyL,hydroxymethylglutaryl-CoA lyase ,PA2011_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1553,---,probable cytochrome c oxidase subunit ,PA1553_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5015,aceE,pyruvate dehydrogenase ,PA5015_aceE_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1479,ccmE,cytochrome C-type biogenesis protein CcmE ,PA1479_ccmE_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2638,nuoB,NADH dehydrogenase I chain B ,PA2638_nuoB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5098,hutH,histidine ammonia-lyase ,PA5098_hutH_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4448,hisD,histidinol dehydrogenase ,PA4448_hisD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2140,---,probable metallothionein ,PA2140_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0835,pta,phosphate acetyltransferase ,PA0835_pta_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5038,aroB,3-dehydroquinate synthase ,PA5038_aroB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2193,hcnA,hydrogen cyanide synthase HcnA ,PA2193_hcnA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0402,pyrB,aspartate carbamoyltransferase ,PA0402_pyrB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3687,ppc,phosphoenolpyruvate carboxylase ,PA3687_ppc_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3879,narL,two-component response regulator NarL ,PA3879_narL_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1587,lpdG,lipoamide dehydrogenase-glc ,PA1587_lpdG_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5328,---,probable cytochrome c(mono-heme type) ,PA5328_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5143,hisB,imidazoleglycerol-phosphate dehydratase ,PA5143_hisB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3366,amiE,aliphatic amidase ,PA3366_amiE_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4975,---,NAD(P)H quinone oxidoreductase ,PA4975_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2001,atoB,acetyl-CoA acetyltransferase ,PA2001_atoB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3635,eno,enolase ,PA3635_eno_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4100,---,probable dehydrogenase ,PA4100_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5025,metY,homocysteine synthase ,PA5025_metY_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4153,---,"2,3-butanediol dehydrogenase ",PA4153_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2647,nuoL,NADH dehydrogenase I chain L ,PA2647_nuoL_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0330,rpiA,ribose 5-phosphate isomerase ,PA0330_rpiA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2297,---,probable ferredoxin ,PA2297_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2515,xylL,"cis-1,2-dihydroxycyclohexa-3,4-diene carboxylate dehydrogenase ",PA2515_xylL_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2951,etfA,electron transfer flavoprotein alpha-subunit ,PA2951_etfA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4868,ureC,urease alpha subunit ,PA4868_ureC_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0956,proS,prolyl-tRNA synthetase ,PA0956_proS_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0036,trpB,tryptophan synthase beta chain ,PA0036_trpB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2009,hmgA,"homogentisate 1,2-dioxygenase ",PA2009_hmgA_at,,
